startTime_ISO8601,startTime_secondsSinceMidnight1Jan1970UTC,estimatedSecondsSinceAlert,wantingAnything,whatWanting,wantingIntensity,wantedToFeel_control,wantedToFeel_lessStress,wantedToFeel_goodAboutMe,wantedToFeel_connected,wantedToFeel_comfort,wantedToFeel_novelty,wantedToFeel_calm,wantedToFeel_health,wantedToFeel_energy,wantedToFeel_goodPerson,wantedToFeel_competent,wantedToFeel_acknowledged,wantedToFeel_helpful,wantedToFeel_other,wantedToFeel_specifiedOther,wantedToFeel_nothingInParticular,doing,doing_specifiedOther,withOthers,feelingBadToGood,energy,physically_good,physically_energized,physically_hungry,physically_tired,physically_uncomfortable,physically_other,physically_specifiedOther,physically_noFeeling,feeling_angry,feelingIntensity_angry,feeling_anxious,feelingIntensity_anxious,feeling_awe,feelingIntensity_awe,feeling_content,feelingIntensity_content,feeling_frustrated,feelingIntensity_frustrated,feeling_grateful,feelingIntensity_grateful,feeling_happy,feelingIntensity_happy,feeling_jealous,feelingIntensity_jealous,feeling_loving,feelingIntensity_loving,feeling_proud,feelingIntensity_proud,feeling_restless,feelingIntensity_restless,feeling_sad,feelingIntensity_sad,feeling_other,feeling_specifiedOther,feeling_noEmotion,thinkingOverAndOver,comparingToOthers,lonely,selfWorth,appreciating,stressed
"2017-05-02T20:11:01-07:00",1493781061,2351,2,"Work on data project ",0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"talk",,2,0.633,0.771,0,0,1,0,0,0,,0,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.629,0,0
"2017-05-02T12:41:30-07:00",1493754090,2354,2,"Apply to jobs ",0.281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,"chores",,0,0.506,0.629,0,0,0,0,0,0,,1,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,0.426,,0,0.5,0,0.104
"2017-05-02T08:34:34-07:00",1493739274,7,2,"Paint the stairs ",0.283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"other","Meditating",0,0.5,0.502,0,0,0,0,1,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.175,,0,0.363,0,0.289
"2017-05-01T21:34:24-07:00",1493699664,4591,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"other","Dancing ",2,0.633,0.5,0,0,1,0,0,0,,0,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.514,0.791,0
"2017-05-01T15:49:41-07:00",1493678981,8616,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"other","Looking for a job ",0,0.5,0.5,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0.502,0,0.143
"2017-05-01T12:30:11-07:00",1493667011,5954,2,"Repair stairs ",0.255,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,"work",,0,0.5,0.5,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0.502,0,0
"2017-05-01T08:25:45-07:00",1493652345,32855,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"eat",,0,0.498,0.233,0,0,0,1,0,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.122,,0,0.5,0,0
"2017-04-30T14:18:23-07:00",1493587103,13,1,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,0,"eat",,0,0.41,0.5,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,0.08,0.498,0,0.05
"2017-04-29T21:30:10-07:00",1493526610,10,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,"eat",,2,0.633,0.602,0,0,0,0,0,0,,1,0,,0,,0,,1,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,0,,0,0.598,0.456,0
"2017-04-29T13:00:11-07:00",1493496011,12,2,"Clean windows ",0.538,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,"chores",,2,0.618,0.715,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,0.247,,0,0.622,0,0.066
